# 한자|뜻|음|부수|획수
伽|절|가|亻|7
佳|아름다울, 좋을|가|亻|8
假|거짓, 잠시|가|亻|11
價|값|가|亻|15
加|더할, 미칠|가|力|5
可|옳을, 허락할|가|口|5
呵|꾸짖을, 껄껄웃을|가|口|8
哥|소리, 형|가|口|10
嘉|아름다울, 착할|가|口|14
嫁|시집갈, 떠넘길|가|女|13
家|집, 집안|가|宀|10
暇|겨를, 한가할|가|日|13
架|시렁, 횃대|가|木|9
枷|칼, 도리깨|가|木|9
柯|가지|가|木|9
歌|노래|가|欠|14
珂|백마노|가|王|9
痂|딱지|가|疒|10
稼|심을|가|禾|15
苛|독할, 까다로울|가|艹|9
茄|가지|가|艹|9
街|거리|가|行|12
袈|가사|가|衣|11
訶|꾸짖을|가|言|12
賈|값|가|貝|13
跏|책상다리할|가|足|12
軻|가기 힘들|가|車|12
迦|부처 이름|가|辶|9
駕|탈것, 탈|가|馬|15
刻|새길, 모질|각|刂|8
却|물리칠, 물러날|각|卩|7
各|각각|각|口|6
恪|삼갈|각|忄|9
慤|삼갈|각|心|15
殼|껍질|각|殳|12
珏|쌍옥|각|王|9
脚|다리, 발|각|月|11
覺|깨달을, 깨우칠|각|見|20
角|뿔, 쌍상투|각|角|7
閣|다락집, 잔교|각|門|14
侃|강직할|간|亻|8
刊|책펴낼, 새길|간|刂|5
墾|개간할|간|土|16
奸|간음할, 범할|간|女|6
姦|간음할, 간사할|간|女|9
干|방패, 범할|간|干|3
幹|줄기, 몸|간|干|13
懇|정성|간|心|17
揀|가릴|간|扌|12
杆|쓰러진 나무, 몽둥|간|木|7
柬|가릴, 편지|간|木|9
桿|쓰러진나무, 몽둥이|간|木|11
澗|산골물|간|氵|15
癎|경풍, 간질|간|疒|17
看|볼, 지킬|간|目|9
磵|산골물|간|石|17
稈|짚|간|禾|12
竿|장대|간|竹|9
簡|편지|간|竹|18
肝|간, 마음|간|月|7
艮|간괘, 머무를|간|艮|6
艱|어려울, 괴로울|간|艮|17
諫|간할|간|言|16
間|사이, 염탐꾼|간|門|12
乫|갈|갈|乙|6
喝|꾸짖을, 고함지를|갈|口|12
曷|어찌, 벌레 이름|갈|曰|9
渴|목마를, 갈증|갈|氵|12
碣|비, 둥근 비석|갈|石|14
竭|다할, 고갈할|갈|立|14
葛|칡, 갈포|갈|艹|13
褐|베옷, 털옷|갈|衤|14
蝎|전갈|갈|虫|15
鞨|오랑캐 이름|갈|革|18
勘|헤아릴|감|力|11
坎|구덩이, 괘 이름|감|土|7
堪|견딜, 하늘|감|土|12
嵌|산골짜기, 새겨넣을|감|山|12
感|느낄, 감동할|감|心|13
憾|한할|감|忄|16
戡|이길, 죽일|감|戈|13
敢|감히, 결단성 있을|감|攵|12
柑|홍귤나무|감|木|9
橄|감람나무|감|木|16
減|덜, 감할|감|氵|12
甘|달|감|甘|5
疳|감질|감|疒|10
監|볼, 비추어볼|감|皿|14
瞰|볼, 내려다볼|감|目|17
紺|감색|감|糸|11
邯|현 이름|감|阝|8
鑑|거울, 거울삼을|감|金|22
鑒|거울, 살필|감|金|22
龕|감실|감|龍|22
匣|갑|갑|匚|7
岬|갑, 산허구리|갑|山|8
甲|갑옷, 첫째 천간|갑|田|5
胛|어깨뼈|갑|月|9
鉀|갑옷|갑|金|13
閘|물문|갑|門|13
剛|굳셀|강|刂|10
堈|언덕, 독|강|土|11
姜|성, 굳셀|강|女|9
岡|산등성이|강|山|8
崗|산등성이|강|山|11
康|편안할, 즐거울|강|广|11
强|강할, 힘쓸|강|弓|12
彊|굳셀, 힘쓸|강|弓|16
慷|강개할|강|忄|14
江|물 이름|강|氵|6
畺|지경|강|田|13
疆|지경, 지경 정할|강|田|19
糠|겨, 자질할|강|米|17
絳|진홍|강|糸|12
綱|벼리, 근본|강|糸|14
羌|오랑캐|강|羊|8
腔|빈속, 가락|강|月|12
舡|배|강|舟|9
薑|생강|강|艹|17
襁|포대기, 띠|강|衤|16
講|풀이할, 익힐|강|言|17
鋼|강철|강|金|16
降|내릴|강|阝|9
鱇|천징어|강|魚|22
介|끼일|개|人|4
价|착할, 클|개|亻|6
個|낱|개|亻|10
凱|개선할, 즐길|개|几|12
塏|높은 땅|개|土|13
