傢	家
價	价
訶	诃
賈	贾
軻	轲
鎵	镓
駕	驾
卻	却
玨	珏
腳	脚
殼	壳
愨	悫
擱	搁
覺	觉
閣	阁
姦	奸
桿	杆
榦	干
幹	干
稈	秆
趕	赶
墾	垦
懇	恳
慳	悭
揀	拣
澗	涧
癇	痫
簡	简
羥	羟
艱	艰
諫	谏
間	间
齦	龈
減	减
尷	尴
鑑	监
監	监
鹼	硷
堿	碱
紺	绀
鑒	鉴
闞	阚
龕	龛
鉀	钾
閘	闸
彊	强
薑	姜
繈	襁
強	强
岡	冈
剛	刚
崗	岗
綱	纲
絳	绛
絳	绦
韁	缰
講	讲
鋼	钢
鏹	镪
蓋	盖
個	个
箇	个
凱	凯
剴	剀
塏	垲
開	开
愾	忾
愷	恺
鈣	钙
鎧	铠
鍇	锴
賡	赓
鏗	铿
據	据
舉	举
櫸	榉
詎	讵
鉅	钜
鋸	锯
乾	干
鍵	键
騫	骞
鶱	骞
傑	杰
儉	俭
劍	剑
撿	捡
檢	检
瞼	睑
臉	脸
鈐	钤
擊	击
緙	缂
繳	缴
覡	觋
闃	阒
堅	坚
牽	牵
筧	笕
縴	纤
絹	绢
繾	缱
繭	茧
見	见
譴	谴
鰹	鲣
鵑	鹃
決	决
潔	洁
結	结
訣	诀
闋	阕
縑	缣
謙	谦
鉗	钳
鶼	鹣
郟	郏
傾	倾
剄	刭
勁	劲
坰	垧
慶	庆
弳	弪
徑	径
驚	惊
氫	氢
涇	泾
烴	烃
瓊	琼
痙	痉
競	竞
經	经
綆	绠
脛	胫
莖	茎
煢	茕
輕	轻
逕	迳
鏡	镜
頃	顷
頸	颈
鯁	鲠
鯨	鲸
係	系
繫	系
啓	启
啟	启
屆	届
繼	继
薊	蓟
計	计
誡	诫
鍥	锲
階	阶
雞	鸡
鷄	鸡
攷	考
僱	雇
薧	槁
庫	库
蠱	蛊
褲	裤
詁	诂
誥	诰
鈷	钴
銬	铐
鋯	锆
錮	锢
顧	顾
鴣	鸪
穀	谷
嚳	喾
轂	毂
鵠	鹄
袞	衮
睏	困
滾	滚
緄	绲
輥	辊
錕	锟
閫	阃
鯀	鲧
鯤	鲲
鶻	鹘
槓	杠
鞏	巩
笻	筇
貢	贡
贛	赣
龔	龚
誇	夸
夥	伙
剮	剐
堝	埚
撾	挝
課	课
過	过
鍋	锅
錁	锞
顆	颗
騍	骒
槨	椁
毌	毋
關	关
寬	宽
慣	惯
摜	掼
綰	绾
觀	观
貫	贯
館	馆
髖	髋
鸛	鹳
颳	刮
鴰	鸹
劻	匡
廣	广
壙	圹
曠	旷
獷	犷
礦	矿
纊	纩
誆	诓
誑	诳
鄺	邝
掛	挂
枴	拐
咼	呙
詿	诖
壞	坏
塊	块
蕢	蒉
幗	帼
摑	掴
蟈	蝈
轟	轰
閎	闳
喬	乔
僑	侨
嚙	啮
嬌	娇
嶠	峤
撟	挢
攪	搅
橋	桥
矯	矫
磽	硗
絞	绞
翹	翘
膠	胶
蕎	荞
蹺	跷
轎	轿
較	较
鉸	铰
餃	饺
驕	骄
鮫	鲛
毬	球
釦	扣
茍	苟
傴	伛
區	区
廄	厩
嘔	呕
夠	够
嫗	妪
屨	屦
嶇	岖
巰	巯
懼	惧
摳	抠
舊	旧
構	构
搆	构
歐	欧
毆	殴
溝	沟
漚	沤
甌	瓯
窶	窭
緱	缑
覯	觏
謳	讴
購	购
賕	赇
軀	躯
釓	钆
鉤	钩
鬮	阄
颶	飓
驅	驱
駒	驹
鳩	鸠
鷗	鸥
鴝	鸲
龜	龟
麯	曲
跼	局
侷	局
挶	局
國	国
鋦	锔
軍	军
皸	皲
詘	诎
宮	宫
窮	穷
捲	卷
踡	蜷
勸	劝
權	权
綣	绻
錈	锩
顴	颧
闕	阙
鱖	鳜
匭	匦
匱	匮
憒	愦
櫃	柜
潰	溃
簣	篑
繢	缋
詭	诡
軌	轨
饋	馈
餽	馈
劌	刿
歸	归
貴	贵
媯	妫
巋	岿
竅	窍
窺	窥
糾	纠
規	规
閨	闺
勻	匀
鈞	钧
剋	克
劇	剧
極	极
棘	枣
巹	卺
觔	筋
僅	仅
覲	觐
謹	谨
饉	馑
錦	锦
伋	汲
級	级
給	给
恆	恒
幾	几
機	机
旂	旗
棄	弃
祇	只
衹	只
衹	致
嘰	叽
豈	岂
榿	桤
氣	气
璣	玑
磯	矶
紀	纪
綺	绮
羈	羁
蘄	蕲
蟣	虮
覬	觊
譏	讥
記	记
頎	颀
飢	饥
饑	饥
騏	骐
騎	骑
驥	骥
鰭	鳍
緊	紧
鮚	鲒
喫	吃
儺	傩
諾	诺
難	难
納	纳
鈉	钠
迺	乃
內	内
釹	钕
撚	捻
寧	宁
嚀	咛
擰	拧
檸	柠
濘	泞
聹	聍
禰	祢
駑	驽
儂	侬
農	农
噥	哝
濃	浓
膿	脓
惱	恼
腦	脑
餒	馁
裊	袅
嬝	袅
鐃	铙
吶	呐
訥	讷
紐	纽
鈕	钮
妳	你
膩	腻
鈮	铌
暱	昵
耑	端
單	单
團	团
糰	团
壇	坛
摶	抟
斷	断
癉	瘅
簞	箪
籪	簖
緞	缎
鄲	郸
鉭	钽
鍛	锻
噠	哒
撻	挞
獺	獭
達	达
鐽	钽
闥	闼
韃	鞑
擔	担
膽	胆
罈	坛
曇	昙
蕁	荨
談	谈
譚	谭
錟	锬
黨	党
儻	傥
當	当
儅	当
噹	当
戇	戆
擋	挡
檔	档
襠	裆
讜	谠
鐺	铛
鏜	镗
餳	饧
臺	台
檯	台
對	对
帶	带
懟	怼
貸	贷
鐓	镦
隊	队
塗	涂
圖	图
導	导
島	岛
搗	捣
擣	捣
濤	涛
燾	焘
盜	盗
禱	祷
縚	绦
賭	赌
鍍	镀
韜	韬
櫝	椟
瀆	渎
牘	牍
犢	犊
獨	独
禿	秃
篤	笃
讀	读
黷	黩
燉	炖
躉	趸
頓	顿
飩	饨
鼕	冬
東	东
凍	冻
動	动
崠	岽
棟	栋
銅	铜
鶇	鸫
鬥	斗
頭	头
竇	窦
鈄	钭
鈍	钝
籐	藤
燈	灯
騰	腾
謄	誊
鄧	邓
鐙	镫
懶	懒
欏	椤
玀	猡
癩	癞
籮	箩
羅	罗
囉	罗
儸	罗
腡	脶
蘿	萝
邏	逻
鑼	锣
鏍	镙
騾	骡
濼	泺
絡	络
犖	荦
鉻	铬
駱	骆
亂	乱
蘭	兰
攔	拦
斕	斓
欄	栏
欒	栾
灤	滦
瀾	澜
爛	烂
讕	谰
